WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1760975041.677022 28644284 gl_context.cc:357] GL version: 2.1 (2.1 Metal - 90.5), renderer: Apple M1
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
W0000 00:00:1760975041.736218 28644322 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1760975041.742755 28644322 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
/Users/tershi/Project/專題/venv_mediapipe/lib/python3.11/site-packages/google/protobuf/symbol_database.py:55: UserWarning: SymbolDatabase.GetPrototype() is deprecated. Please use message_factory.GetMessageClass() instead. SymbolDatabase.GetPrototype() will be removed soon.
  warnings.warn('SymbolDatabase.GetPrototype() is deprecated. Please '
2025-10-20 23:44:02.354 Python[37025:28644284] error messaging the mach port for IMKCFRunLoopWakeUpReliable

============================================================
測試運動: 肩上推舉
影片: example_video1.mp4
============================================================

[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.0° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.7° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.9° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.0° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.9° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.7° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.6° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.6° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.8° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 31.9° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.0° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 33.7° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 34.7° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 34.2° | 階段: down | 計數: 0
[角度追蹤] 運動: 肩上推舉 | 角度: 34.8° | 階段: down | 計數: 0
✓ [計數+1] 肩推完成！角度: 35.0° | 總計: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 35.0° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 34.6° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 34.4° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 33.9° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 33.5° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 33.7° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 33.4° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 31.8° | 階段: up | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 31.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.5° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.2° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.2° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.2° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.6° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.6° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.6° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.6° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.5° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.3° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.2° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 28.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 28.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 28.6° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.1° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 30.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 31.0° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 31.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: down | 計數: 1
[角度追蹤] 運動: 肩上推舉 | 角度: 32.8° | 階段: down | 計數: 1
✓ [計數+1] 肩推完成！角度: 33.4° | 總計: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 34.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 34.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.5° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 35.3° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 34.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.6° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.9° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.3° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 31.7° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 31.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 31.4° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 31.1° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.8° | 階段: up | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.3° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.6° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.4° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.5° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 28.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.1° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.3° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.1° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 29.8° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 30.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 31.5° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.4° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.1° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.5° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.3° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.0° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.7° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 32.9° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: down | 計數: 2
[角度追蹤] 運動: 肩上推舉 | 角度: 33.2° | 階段: down | 計數: 2
✓ [計數+1] 肩推完成！角度: 34.1° | 總計: 3
[角度追蹤] 運動: 肩上推舉 | 角度: 34.1° | 階段: up | 計數: 3
[角度追蹤] 運動: 肩上推舉 | 角度: 34.3° | 階段: up | 計數: 3
[角度追蹤] 運動: 肩上推舉 | 角度: 33.4° | 階段: up | 計數: 3
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 3
[角度追蹤] 運動: 肩上推舉 | 角度: 33.1° | 階段: up | 計數: 3
